Date,Adj Close,Close,High,Low,Open,Volume
2024-06-26,156.26123046875,159.1999969482422,161.8179931640625,157.35899353027344,159.76199340820312,46479000
2024-06-27,155.73709106445312,158.66600036621094,160.56199645996094,157.10000610351562,159.1999969482422,31649000
2024-06-28,157.58924865722656,160.55299377441406,163.92300415039062,158.60000610351562,159.58799743652344,69377000
2024-07-01,161.05113220214844,164.0800018310547,164.875,159.35000610351562,160.82000732421875,47623000
2024-07-02,162.68833923339844,165.7480010986328,165.9199981689453,162.1999969482422,164.0800018310547,32539000
2024-07-03,169.7299346923828,172.9219970703125,172.9219970703125,166.4459991455078,167.0,39954000
2024-07-05,167.18673706054688,170.33099365234375,176.5469970703125,169.60000610351562,175.55599975585938,45240000
2024-07-08,171.3632049560547,174.58599853515625,175.69000244140625,170.5,170.5,36398000
2024-07-09,170.13137817382812,173.33099365234375,177.09800720214844,170.55599975585938,175.656005859375,37802000
2024-07-10,171.2483367919922,174.468994140625,176.6490020751953,172.63600158691406,174.60000610351562,41074000
2024-07-11,167.4458770751953,170.59500122070312,176.48699951171875,166.85000610351562,176.46600341796875,51026000
2024-07-12,166.92762756347656,170.06700134277344,172.59100341796875,169.13099670410156,171.10299682617188,30453000
2024-07-15,168.25563049316406,171.4199981689453,173.50999450683594,169.25999450683594,170.0,22999200
2024-07-16,166.25332641601562,169.3800048828125,172.80999755859375,166.39999389648438,172.39999389648438,22244900
2024-07-17,153.10067749023438,155.97999572753906,162.83999633789062,155.61000061035156,162.30999755859375,43343400
2024-07-18,157.55685424804688,160.52000427246094,161.50999450683594,153.89999389648438,158.88999938964844,37973500
2024-07-19,154.44537353515625,157.35000610351562,163.9499969482422,157.1199951171875,161.83999633789062,26309500
2024-07-22,158.08689880371094,161.05999755859375,162.99000549316406,157.89999389648438,160.22999572753906,28813300
2024-07-23,160.74685668945312,163.77000427246094,165.3300018310547,159.89999389648438,160.39999389648438,21570200
2024-07-24,148.54632568359375,151.33999633789062,161.41000366210938,151.10000610351562,160.35000610351562,37162600
2024-07-25,146.5047149658203,149.25999450683594,153.5500030517578,145.52000427246094,151.25999450683594,30872100
2024-07-26,148.83096313476562,151.6300048828125,153.5800018310547,149.9199981689453,153.5,20839900
2024-07-29,147.44699096679688,150.22000122070312,155.0,149.14999389648438,152.02000427246094,16625800
2024-07-30,140.8706817626953,143.52000427246094,153.47000122070312,143.35000610351562,153.27999877929688,31102300
2024-07-31,157.71388244628906,160.67999267578125,161.3300018310547,151.0,151.47000122070312,45827500
2024-08-01,144.3060760498047,147.02000427246094,158.91000366210938,146.1699981689453,157.5,40320000
2024-08-02,141.16514587402344,143.82000732421875,145.35000610351562,139.60000610351562,141.92999267578125,33745800
2024-08-05,139.45726013183594,142.0800018310547,145.4199981689453,128.5,129.61000061035156,41309300
2024-08-06,141.26329040527344,143.9199981689453,148.91000366210938,140.25,141.72999572753906,24751300
2024-08-07,133.7545166015625,136.27000427246094,150.10000610351562,135.8300018310547,148.25,29749800
2024-08-08,143.04971313476562,145.74000549316406,146.27000427246094,138.39999389648438,141.1999969482422,27583200
2024-08-09,145.52316284179688,148.25999450683594,149.5500030517578,144.11000061035156,144.1999969482422,18438700
2024-08-12,145.8765411376953,148.6199951171875,151.1300048828125,146.3699951171875,148.0800018310547,17778500
2024-08-13,153.27734375,156.16000366210938,156.3800048828125,149.80999755859375,151.5500030517578,22053600
2024-08-14,154.7790985107422,157.69000244140625,160.25,154.72000122070312,158.02000427246094,20184200
2024-08-15,163.0633087158203,166.1300048828125,166.6699981689453,160.33999633789062,161.1999969482422,27945000
2024-08-16,162.66087341308594,165.72000122070312,166.08999633789062,162.67999267578125,164.47000122070312,19296900
2024-08-19,164.61415100097656,167.7100067138672,167.8300018310547,160.4199981689453,164.86000061035156,20441700
2024-08-20,162.88662719726562,165.9499969482422,168.3699951171875,164.14999389648438,167.0500030517578,19417500
2024-08-21,162.71975708007812,165.77999877929688,166.47000122070312,162.8800048828125,165.1199951171875,16097700
2024-08-22,159.34324645996094,162.33999633789062,172.4199981689453,161.49000549316406,170.83999633789062,30044500
2024-08-23,163.2890625,166.36000061035156,168.27999877929688,163.4600067138672,165.02999877929688,18848000
2024-08-26,156.67347717285156,159.6199951171875,165.6999969482422,158.66000366210938,164.9600067138672,18521200
2024-08-27,158.41078186035156,161.38999938964844,162.02999877929688,155.8300018310547,157.60000610351562,16683100
2024-08-28,155.2600555419922,158.17999267578125,162.27999877929688,156.25,160.0800018310547,18063600
2024-08-29,154.0331268310547,156.92999267578125,163.1999969482422,155.41000366210938,158.49000549316406,23519300
2024-08-30,159.8144073486328,162.82000732421875,163.24000549316406,158.7100067138672,161.1199951171875,25158500
2024-09-03,149.96954345703125,152.7899932861328,160.74000549316406,151.3800048828125,160.3800048828125,37179100
2024-09-04,151.27500915527344,154.1199951171875,157.7899932861328,149.14999389648438,150.3000030517578,20324100
2024-09-05,149.99900817871094,152.82000732421875,156.36000061035156,150.11000061035156,150.57000732421875,31548500
2024-09-06,134.4710235595703,137.0,143.5,136.60000610351562,143.25,76634600
2024-09-09,138.2205352783203,140.82000732421875,141.58999633789062,134.89999389648438,139.11000061035156,39516700
2024-09-10,145.47410583496094,148.2100067138672,149.86000061035156,141.0399932861328,141.22000122070312,36067500
2024-09-11,155.34841918945312,158.27000427246094,158.8699951171875,145.0399932861328,148.38999938964844,39700800
2024-09-12,161.5222625732422,164.55999755859375,166.32000732421875,156.8300018310547,158.10000610351562,43530700
2024-09-13,164.59449768066406,167.69000244140625,168.0800018310547,164.0399932861328,166.74000549316406,29850000
2024-09-16,160.9922637939453,164.02000427246094,165.5,160.41000366210938,165.19000244140625,26126900
2024-09-17,159.47088623046875,162.47000122070312,166.02000427246094,160.6999969482422,165.49000549316406,19844300
2024-09-18,158.68563842773438,161.6699981689453,167.47000122070312,161.36000061035156,163.77000427246094,26557600
2024-09-19,164.86996459960938,167.4199981689453,170.0,165.66000366210938,167.67999267578125,32453100
2024-09-20,168.4939422607422,171.10000610351562,172.02000427246094,166.47000122070312,167.17999267578125,91758500
2024-09-23,170.305908203125,172.94000244140625,173.32000732421875,168.35000610351562,172.0,29431100
2024-09-24,172.1769561767578,174.83999633789062,175.99000549316406,171.67999267578125,172.80999755859375,34223400
2024-09-25,172.84658813476562,175.52000427246094,177.13999938964844,173.75999450683594,174.64999389648438,16613800
2024-09-26,175.37745666503906,178.08999633789062,180.25,175.0,178.5,24340000
2024-09-27,170.05970764160156,172.69000244140625,178.47000122070312,171.75999450683594,178.1699981689453,20580900
2024-09-30,169.8726043701172,172.5,172.9199981689453,169.6300048828125,171.8699951171875,16902000
2024-10-01,164.91920471191406,167.47000122070312,172.25,165.8000030517578,172.16000366210938,23770400
2024-10-02,168.06063842773438,170.66000366210938,172.83999633789062,167.02000427246094,167.5500030517578,14317800
