Date,Adj Close,Close,High,Low,Open,Volume
2024-09-03,128.37249755859375,129.8699951171875,146.8000030517578,129.05999755859375,139.35000610351562,1285500
2024-09-04,127.7794418334961,129.27000427246094,133.38999938964844,125.83000183105469,128.19000244140625,803300
2024-09-05,125.91122436523438,127.37999725341797,130.4499969482422,124.86000061035156,130.11000061035156,695800
2024-09-06,119.68387603759766,121.08000183105469,130.61000061035156,116.94999694824219,128.33999633789062,932800
2024-09-09,124.92276000976562,126.37999725341797,129.0800018310547,122.48999786376953,123.37999725341797,745700
2024-09-10,125.48617553710938,126.94999694824219,127.68000030517578,121.54000091552734,126.41999816894531,539400
2024-09-11,128.7975616455078,130.3000030517578,131.0,122.66999816894531,125.48999786376953,727500
2024-09-12,129.1533966064453,130.66000366210938,133.1199951171875,126.36000061035156,129.97999572753906,612200
2024-09-13,137.45652770996094,139.05999755859375,139.39999389648438,131.38999938964844,131.9600067138672,793000
2024-09-16,137.45652770996094,139.05999755859375,141.9199981689453,136.13999938964844,141.0,738400
2024-09-17,136.3791046142578,137.97000122070312,144.1439971923828,135.6999969482422,140.75,1029200
2024-09-18,135.875,137.4600067138672,146.18699645996094,135.33999633789062,138.8000030517578,1266700
2024-09-19,142.30006408691406,143.9600067138672,148.3300018310547,141.55999755859375,145.6300048828125,1401700
2024-09-20,138.62295532226562,140.24000549316406,142.8300018310547,137.72999572753906,142.52000427246094,787900
2024-09-23,129.044677734375,130.5500030517578,142.07000732421875,130.0,142.07000732421875,1299800
2024-09-24,127.23577117919922,128.72000122070312,131.47000122070312,124.80000305175781,131.47000122070312,1172700
2024-09-25,123.36097717285156,124.80000305175781,130.2310028076172,124.30999755859375,129.0500030517578,887100
2024-09-26,124.84368133544922,126.30000305175781,129.6999969482422,123.36000061035156,128.0,1179800
2024-09-27,125.45652770996094,126.91999816894531,130.55999755859375,126.33000183105469,128.49000549316406,896800
2024-09-30,127.25555419921875,128.74000549316406,131.7449951171875,124.61000061035156,125.5,1114700
2024-10-01,123.8057861328125,125.25,128.10000610351562,120.0999984741211,127.94000244140625,1239700
2024-10-02,124.09244537353516,125.54000091552734,126.30000305175781,119.6500015258789,123.18000030517578,715200
2024-10-03,118.81401824951172,120.19999694824219,125.55000305175781,119.63999938964844,123.54000091552734,1043600
2024-10-04,121.72012329101562,123.13999938964844,125.08999633789062,120.05999755859375,123.01000213623047,891700
2024-10-07,117.3115463256836,118.68000030517578,124.69000244140625,117.08000183105469,124.0199966430664,1056500
2024-10-08,119.97053527832031,121.37000274658203,123.80000305175781,117.72000122070312,119.19000244140625,735300
2024-10-09,117.11385345458984,118.4800033569336,121.5999984741211,117.29000091552734,121.4800033569336,1206700
2024-10-10,116.66903686523438,118.02999877929688,118.05000305175781,113.89099884033203,116.19000244140625,1085800
2024-10-11,125.42688751220703,126.88999938964844,127.33999633789062,116.43499755859375,118.12000274658203,1097600
2024-10-14,126.94911193847656,128.42999267578125,128.9499969482422,124.31999969482422,125.58999633789062,630100
2024-10-15,127.68058013916016,129.1699981689453,131.7899932861328,125.30000305175781,128.30999755859375,1010300
2024-10-16,131.4466552734375,132.97999572753906,134.16000366210938,128.2899932861328,130.07000732421875,861500
2024-10-17,127.7991943359375,129.2899932861328,134.0,129.13999938964844,132.89999389648438,752500
2024-10-18,129.5883331298828,131.10000610351562,132.39999389648438,128.53500366210938,130.11000061035156,596800
2024-10-21,123.13362884521484,124.56999969482422,130.58999633789062,122.54000091552734,129.13999938964844,1059900
2024-10-22,123.35108947753906,124.79000091552734,125.30000305175781,121.80000305175781,122.12999725341797,492300
2024-10-23,117.44003295898438,118.80999755859375,124.75,116.69000244140625,123.3499984741211,1343800
2024-10-24,119.4071044921875,120.80000305175781,124.36000061035156,119.44999694824219,120.27999877929688,874900
2024-10-25,119.0809097290039,120.47000122070312,126.5999984741211,120.20999908447266,122.25,806300
2024-10-28,124.10232543945312,125.55000305175781,129.0,122.87000274658203,123.88999938964844,822600
2024-10-29,123.97383117675781,125.41999816894531,126.1050033569336,122.03500366210938,124.2699966430664,551800
2024-10-30,123.55866241455078,125.0,128.77000427246094,123.2699966430664,124.41999816894531,597600
2024-10-31,118.201171875,119.58000183105469,123.7699966430664,118.93000030517578,123.0999984741211,812200
2024-11-01,126.23741912841797,127.70999908447266,127.76000213623047,120.69999694824219,121.83000183105469,849800
2024-11-04,126.07926940917969,127.55000305175781,130.77999877929688,122.3499984741211,125.62000274658203,842600
2024-11-05,131.2489471435547,132.77999877929688,132.8000030517578,123.5199966430664,125.0999984741211,878100
2024-11-06,138.38571166992188,140.0,143.3699951171875,133.3000030517578,140.6699981689453,1617900
2024-11-07,140.72836303710938,142.3699951171875,145.91000366210938,140.3300018310547,142.0,1046300
2024-11-08,145.2654571533203,146.9600067138672,147.1999969482422,140.49000549316406,141.07000732421875,1025700
